DIRECTORIO,SECUENCIA_P,ORDEN,P6040,CLASE,DPTO,INGLABO
7742093,1,1,52,1,5,900000
7742094,1,1,37,1,5,1000000
7742094,1,2,11,1,5,NA
7742095,1,1,49,1,5,1350000
7742095,1,2,25,1,5,2300000
7742096,1,1,38,1,5,1300000
7742096,1,2,34,1,5,NA
7742096,1,3,15,1,5,NA
7742096,1,4,4,1,5,NA
7742097,1,1,32,1,5,1300000
7742098,1,1,28,1,5,1600000
7742098,1,2,27,1,5,2800000
7742099,1,1,63,1,5,1000000
7742100,1,1,41,1,5,1500000
7742101,1,1,49,1,5,3200000
7742101,1,2,28,1,5,2400000
7742101,1,3,25,1,5,1650000
7742101,1,4,23,1,5,1400000
7742102,1,1,84,1,5,NA
7742102,1,2,76,1,5,NA
7742103,1,1,85,1,5,NA
7742103,1,2,82,1,5,NA
7742104,1,1,70,1,5,2800000
7742104,1,2,19,1,5,1650000
7742105,1,1,41,1,5,2500000
7742105,1,2,41,1,5,550000
7742105,1,3,6,1,5,NA
7742106,1,1,40,1,5,4500000
7742106,1,2,68,1,5,NA
7742107,1,1,34,1,5,1450000
7742107,1,2,37,1,5,2000000
7742108,1,1,56,1,5,2300000
7742109,1,1,34,1,5,4000000
7742110,1,1,66,1,5,NA
7742110,1,2,57,1,5,NA
7742111,1,1,25,1,5,3500000
7742111,1,2,28,1,5,3365000
7742111,1,3,26,1,5,NA
7742112,1,1,81,1,5,NA
7742113,1,1,54,1,5,1500000
7742114,1,1,27,1,5,1300000
7742114,1,2,29,1,5,1300000
7742115,1,1,23,1,5,5000000
7742115,1,2,31,1,5,4000000
7742116,1,1,30,1,5,2000000
7742116,1,2,19,1,5,1300000
7742117,1,1,40,1,5,5320968
7742117,1,2,42,1,5,1901000
7742118,1,1,40,1,5,1500000
7742118,1,2,13,1,5,NA
7742119,1,1,75,1,5,150000
7742120,1,1,57,1,5,1200000
7742121,1,1,30,1,5,2700000
7742122,1,1,27,1,5,5100000
7742122,1,2,27,1,5,1000000
7742123,1,1,75,1,5,NA
7742123,1,2,82,1,5,NA
7742123,1,3,70,1,5,NA
7742124,1,1,38,1,5,4400000
7742124,1,2,20,1,5,NA
7742125,1,1,50,1,5,2700000
7742125,1,2,45,1,5,NA
7742125,1,3,10,1,5,NA
7742125,1,4,9,1,5,NA
7742126,1,1,36,1,5,1750000
7742126,1,2,16,1,5,NA
7742126,1,3,15,1,5,NA
7742126,1,4,32,1,5,1300000
7742127,1,1,44,1,5,7000000
7742127,1,2,17,1,5,NA
7742128,1,1,62,1,5,1000000
7742128,1,2,31,1,5,1600000
7742129,1,1,64,1,5,NA
7742129,1,2,38,1,5,1600000
7742130,1,1,51,1,5,300000
7742130,1,2,70,1,5,NA
7742131,1,1,50,1,5,700000
7742131,1,2,48,1,5,2200000
7742131,1,3,18,1,5,NA
7742132,1,1,66,1,5,NA
7742132,1,2,78,1,5,NA
7742132,1,3,42,1,5,NA
7742133,1,1,38,1,5,3400000
7742133,1,2,35,1,5,NA
7742133,1,3,17,1,5,NA
7742133,1,4,8,1,5,NA
7742134,1,1,45,1,5,2930000
7742134,1,2,40,1,5,1300000
7742135,1,1,72,1,5,NA
7742135,1,2,56,1,5,1300000
7742136,1,1,39,1,5,3000000
7742136,1,2,26,1,5,1300000
7742136,1,3,9,1,5,NA
7742137,1,1,77,1,5,NA
7742137,1,2,70,1,5,NA
7742138,1,1,43,1,5,1300000
7742138,1,2,17,1,5,NA
7742138,1,3,14,1,5,NA
7742139,1,1,42,1,5,1800000
7742139,1,2,27,1,5,500000
7742139,1,3,17,1,5,NA
7742140,1,1,62,1,5,NA
7742140,1,2,28,1,5,500000
7742141,1,1,64,1,5,NA
7742142,1,1,27,1,5,NA
7742142,1,2,23,1,5,NA
7742142,1,3,42,1,5,1950000
7742143,1,1,63,1,5,1400000
7742144,1,1,53,1,5,4000000
7742144,1,2,52,1,5,NA
7742144,1,3,32,1,5,2000000
7742145,1,1,36,1,5,4800000
7742145,1,2,32,1,5,1500000
7742145,1,3,1,1,5,NA
7742146,1,1,42,1,5,20000000
7742146,1,2,41,1,5,10000000
7742147,1,1,50,1,5,4600000
7742148,1,1,40,1,5,1700000
7742148,1,2,38,1,5,4000000
7742149,1,1,45,1,5,10000000
7742150,1,1,58,1,5,50000000
7742151,1,1,23,1,5,2000000
7742151,1,2,28,1,5,NA
7742151,1,3,4,1,5,NA
7742152,1,1,69,1,5,800000
7742152,1,2,34,1,5,NA
7742152,1,3,25,1,5,1300000
7742153,1,1,68,1,5,NA
7742153,1,2,26,1,5,NA
7742154,1,1,35,1,5,4000000
7742154,1,2,33,1,5,2600000
7742154,1,3,11,1,5,NA
7742155,1,1,46,1,5,5000000
7742155,1,2,42,1,5,5500000
7742155,1,3,10,1,5,NA
7742156,1,1,38,1,5,NA
7742156,1,2,19,1,5,NA
7742156,1,3,14,1,5,NA
7742156,1,4,7,1,5,NA
7742156,1,5,6,1,5,NA
7742157,1,1,28,1,5,4500000
7742158,1,1,43,1,5,2500000
7742158,1,2,14,1,5,NA
7742159,1,1,30,1,5,2600000
7742160,1,1,70,1,5,2000000
7742160,1,2,58,1,5,3500000
7742161,1,1,41,1,5,400000
7742161,1,2,18,1,5,NA
7742162,1,1,59,1,5,900000
7742163,1,1,49,1,5,800000
7742163,1,2,16,1,5,NA
7742163,1,3,13,1,5,NA
7742164,1,1,59,1,5,1000000
7742166,1,1,70,1,5,NA
7742166,1,2,34,1,5,600000
7742167,1,1,62,1,5,1500000
7742167,1,2,13,1,5,NA
7742168,1,1,67,1,5,NA
7742168,1,2,61,1,5,NA
7742169,1,1,39,1,5,2200000
7742169,1,2,27,1,5,150000
7742169,1,3,11,1,5,NA
7742169,1,4,7,1,5,NA
7742170,1,1,72,1,5,300000
7742171,1,1,48,1,5,1740000
7742171,1,2,46,1,5,2600000
7742171,1,3,21,1,5,NA
7742171,1,4,16,1,5,NA
7742172,1,1,50,1,5,3878000
7742172,1,2,45,1,5,NA
7742172,1,3,8,1,5,NA
7742172,1,4,75,1,5,NA
7742173,1,1,55,1,5,2600000
7742173,1,2,44,1,5,NA
7742173,1,3,21,1,5,NA
7742174,1,1,41,1,5,4000000
7742174,1,2,46,1,5,4000000
7742174,1,3,16,1,5,NA
7742174,1,4,13,1,5,NA
7742175,1,1,48,1,5,5000000
7742175,1,2,46,1,5,4000000
7742175,1,3,20,1,5,2250000
7742175,1,4,15,1,5,NA
7742176,1,1,77,1,5,NA
7742176,1,2,46,1,5,1462000
7742177,1,1,30,1,5,1000000
7742177,1,2,12,1,5,NA
7742177,1,3,4,1,5,NA
7742179,1,1,81,1,5,NA
7742179,1,2,44,1,5,NA
7742179,1,3,9,1,5,NA
7742180,1,1,46,1,5,800000
7742181,1,1,44,1,5,1300000
7742181,1,2,40,1,5,NA
7742181,1,3,17,1,5,NA
7742182,1,1,35,1,5,1220000
7742182,1,2,34,1,5,1300000
7742182,1,3,14,1,5,NA
7742183,1,1,43,1,5,1000000
7742183,1,2,17,1,5,NA
7742183,1,3,6,1,5,NA
7742184,1,1,47,1,5,400000
7742185,1,1,67,1,5,NA
7742185,1,2,88,1,5,NA
7742186,1,1,53,1,5,2000000
7742187,1,1,25,1,5,4000000
7742187,1,2,17,1,5,NA
7742187,1,3,29,1,5,1462000
7742188,1,1,44,1,5,2200000
7742188,1,2,21,1,5,NA
7742188,1,3,71,1,5,NA
7742189,1,1,79,1,5,NA
7742190,1,1,33,1,5,4500000
7742191,1,1,77,1,5,NA
7742191,1,2,56,1,5,1000000
7742191,1,3,41,1,5,1300000
7742192,1,1,42,1,5,2900000
7742193,1,1,54,1,5,3200000
7742193,1,2,28,1,5,3300000
7742193,1,3,21,1,5,NA
7742194,1,1,75,1,5,NA
7742195,1,1,66,1,5,NA
7742195,1,2,74,1,5,NA
7742195,1,3,46,1,5,1300000
7742196,1,1,53,1,5,2000000
7742196,1,2,51,1,5,1776000
7742196,1,3,28,1,5,2000000
7742196,1,4,12,1,5,NA
7742196,1,5,4,1,5,NA
7742197,1,1,76,1,5,NA
7742198,1,1,54,1,5,1300000
7742198,1,2,54,1,5,NA
7742199,1,1,31,1,5,600000
7742199,1,2,36,1,5,600000
7742199,1,3,14,1,5,NA
7742200,1,1,66,1,5,NA
7742200,1,2,64,1,5,NA
7742201,1,1,53,1,5,1300000
7742202,1,1,80,1,5,NA
7742202,1,2,48,1,5,NA
7742202,1,3,52,1,5,NA
7742202,1,4,31,1,5,NA
7742203,1,1,35,1,5,2070000
7742203,1,2,34,1,5,1300000
7742203,1,3,5,1,5,NA
7742204,1,1,42,1,5,1500000
7742204,1,2,19,1,5,NA
7742205,1,1,66,1,5,NA
7742205,1,2,62,1,5,NA
7742205,1,3,37,1,5,NA
7742205,1,4,16,1,5,NA
7742206,1,1,58,1,5,700000
7742206,1,2,56,1,5,1000000
7742207,1,1,34,1,5,1200000
7742208,1,1,36,1,5,800000
7742208,1,2,26,1,5,2240000
7742208,1,3,17,1,5,250000
7742208,1,4,17,1,5,250000
7742208,1,5,19,1,5,1700000
7742208,1,6,20,1,5,NA
7742208,1,7,0,1,5,NA
7742209,1,1,60,1,5,200000
7742210,1,1,34,1,5,1300000
7742210,1,2,18,1,5,NA
7742210,1,3,13,1,5,NA
7742211,1,1,55,1,5,1300000
7742211,1,2,16,1,5,NA
7742212,1,1,31,1,5,4800000
7742212,2,1,21,1,5,NA
7742212,3,1,22,1,5,NA
7742213,1,1,52,1,5,1500000
7742213,1,2,27,1,5,8500000
7742213,1,3,26,1,5,3250000
7742213,1,4,23,1,5,2500000
7742215,1,1,59,1,5,1500000
7742216,1,1,33,1,5,7000000
7742216,1,2,28,1,5,2900000
7742217,1,1,67,1,5,1500000
7742217,1,2,55,1,5,NA
7742217,1,3,22,1,5,1500000
7742217,1,4,15,1,5,NA
7742218,1,1,65,1,5,NA
7742218,1,2,30,1,5,3000000
7742219,1,1,60,1,5,NA
